TFIDF
               	100554newsML.txt  100593newsML.txt  100618newsML.txt  130040newsML.txt  137871newsML.txt  
51             	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
54.5           	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
8.7            	|  0.000000000000   0.000000000000   0.000000000000   0.047214206055   0.049302038059   
82             	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
abil           	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
abl            	|  0.063733509845   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
ac             	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
accept         	|  0.000000000000   0.000000000000   0.000000000000   0.047214206055   0.049302038059   
account        	|  0.000000000000   0.078568115562   0.000000000000   0.000000000000   0.000000000000   
achiev         	|  0.000000000000   0.000000000000   0.000000000000   0.047214206055   0.049302038059   
ad             	|  0.053614637706   0.000000000000   0.026366766409   0.032969593103   0.034427522344   
admit          	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
afford         	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
agre           	|  0.053614637706   0.022131952912   0.000000000000   0.032969593103   0.034427522344   
ahead          	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
alastair       	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
alleg          	|  0.000000000000   0.117852173343   0.000000000000   0.000000000000   0.000000000000   
allow          	|  0.031866754923   0.000000000000   0.000000000000   0.078384112119   0.081850290448   
alreadi        	|  0.038389502478   0.031694130465   0.000000000000   0.000000000000   0.000000000000   
analyst        	|  0.076779004957   0.000000000000   0.113275824031   0.000000000000   0.000000000000   
anglo-french   	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
angri          	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
announc        	|  0.095600264768   0.000000000000   0.000000000000   0.195960280297   0.163700580897   
annual         	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
anoth          	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
anyth          	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
appeal         	|  0.000000000000   0.314272462249   0.000000000000   0.000000000000   0.000000000000   
appel          	|  0.000000000000   0.117852173343   0.000000000000   0.000000000000   0.000000000000   
applic         	|  0.000000000000   0.078568115562   0.000000000000   0.000000000000   0.000000000000   
approv         	|  0.063733509845   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
april          	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
argument       	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
arrang         	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
arriv          	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
ask            	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
asset          	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
assist         	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
attack         	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
august         	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
author         	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
avail          	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
avoid          	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
awar           	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
bag            	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
bank           	|  0.187651231972   0.000000000000   0.184567364861   0.164847965513   0.172137611721   
bankruptci     	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
barclay        	|  0.000000000000   0.000000000000   0.234004106919   0.000000000000   0.000000000000   
basi           	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
becom          	|  0.038389502478   0.000000000000   0.037758608010   0.000000000000   0.000000000000   
benefit        	|  0.000000000000   0.000000000000   0.000000000000   0.047214206055   0.049302038059   
berlusconi     	|  0.000000000000   0.274988404468   0.000000000000   0.000000000000   0.000000000000   
bettino        	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
bifu           	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
billion        	|  0.134036594266   0.000000000000   0.052733532817   0.329695931025   0.206565134066   
bond           	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
bribe          	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
brighter       	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
bring          	|  0.031866754923   0.000000000000   0.000000000000   0.078384112119   0.081850290448   
brink          	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
britain        	|  0.000000000000   0.063388260931   0.075517216021   0.000000000000   0.000000000000   
british        	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
brother        	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
brown          	|  0.000000000000   0.196420288906   0.000000000000   0.000000000000   0.000000000000   
buisi          	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
busi           	|  0.000000000000   0.031694130465   0.490861904136   0.000000000000   0.000000000000   
busiest        	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
ca             	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
cap            	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
case           	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
cash           	|  0.095165597630   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
categori       	|  0.000000000000   0.000000000000   0.093601642767   0.000000000000   0.000000000000   
ceas           	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
channel        	|  0.026807318853   0.044263905824   0.000000000000   0.032969593103   0.034427522344   
charg          	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
choos          	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
chri           	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
clean          	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
clear          	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
club           	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
co-chairman    	|  0.063733509845   0.000000000000   0.000000000000   0.078384112119   0.081850290448   
co-oper        	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
collaps        	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
come           	|  0.076779004957   0.000000000000   0.037758608010   0.000000000000   0.000000000000   
commerci       	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
compani        	|  0.321687826238   0.088527811647   0.000000000000   0.296726337923   0.309847701099   
compet         	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
competit       	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
complex        	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
compris        	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
compromis      	|  0.000000000000   0.000000000000   0.000000000000   0.047214206055   0.049302038059   
comput         	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
confalonieri   	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
confer         	|  0.095165597630   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
confirm        	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
connect        	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
consider       	|  0.063733509845   0.000000000000   0.000000000000   0.078384112119   0.081850290448   
consolid       	|  0.026807318853   0.000000000000   0.079100299226   0.032969593103   0.034427522344   
constitut      	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
construct      	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
convert        	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
convict        	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
core           	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
corrupt        	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
cost           	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
court          	|  0.000000000000   0.078568115562   0.000000000000   0.000000000000   0.000000000000   
coy            	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
craxi          	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
creditor       	|  0.063733509845   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
crimin         	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
crippl         	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
cross-channel  	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
current        	|  0.076779004957   0.031694130465   0.000000000000   0.000000000000   0.000000000000   
custodi        	|  0.000000000000   0.000000000000   0.327605749686   0.000000000000   0.000000000000   
date           	|  0.000000000000   0.000000000000   0.000000000000   0.047214206055   0.049302038059   
david          	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
deal           	|  0.187651231972   0.000000000000   0.026366766409   0.098908779308   0.103282567033   
debt           	|  0.191200529536   0.000000000000   0.000000000000   0.156768224238   0.163700580897   
debt-for-equ   	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
decemb         	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
decid          	|  0.000000000000   0.031694130465   0.037758608010   0.000000000000   0.000000000000   
decis          	|  0.000000000000   0.031694130465   0.037758608010   0.000000000000   0.000000000000   
depreci        	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
describ        	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
despit         	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
develop        	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
dickson        	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
difficult      	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
dilut          	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
director       	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
discuss        	|  0.000000000000   0.000000000000   0.093601642767   0.000000000000   0.000000000000   
dividend       	|  0.063733509845   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
document       	|  0.000000000000   0.117852173343   0.000000000000   0.000000000000   0.000000000000   
domin          	|  0.000000000000   0.000000000000   0.093601642767   0.000000000000   0.000000000000   
donat          	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
doomsday       	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
dwindl         	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
earli          	|  0.095600264768   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
earlier        	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
east           	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
econom         	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
economi        	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
end            	|  0.026807318853   0.022131952912   0.000000000000   0.065939186205   0.068855044689   
english        	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
entitl         	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
equiti         	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
european       	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
eurotunnel     	|  0.318667549226   0.000000000000   0.000000000000   0.431112616654   0.450176597466   
exist          	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
expect         	|  0.000000000000   0.031694130465   0.037758608010   0.000000000000   0.000000000000   
expedit        	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
explor         	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
extend         	|  0.000000000000   0.000000000000   0.000000000000   0.047214206055   0.049302038059   
face           	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
fals           	|  0.000000000000   0.078568115562   0.000000000000   0.000000000000   0.000000000000   
far            	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
far-reach      	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
fedel          	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
fee            	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
ferri          	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
fifti          	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
fight          	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
finalis        	|  0.026807318853   0.000000000000   0.026366766409   0.032969593103   0.034427522344   
financ         	|  0.038389502478   0.000000000000   0.037758608010   0.000000000000   0.000000000000   
financi        	|  0.063733509845   0.000000000000   0.000000000000   0.078384112119   0.081850290448   
fininvest      	|  0.000000000000   0.078568115562   0.000000000000   0.000000000000   0.000000000000   
firm           	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
fish           	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
fix            	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
flow           	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
follow         	|  0.000000000000   0.000000000000   0.000000000000   0.047214206055   0.049302038059   
footbal        	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
formula        	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
forward        	|  0.038389502478   0.063388260931   0.000000000000   0.000000000000   0.000000000000   
franc          	|  0.053614637706   0.000000000000   0.026366766409   0.032969593103   0.034427522344   
fraud          	|  0.000000000000   0.196420288906   0.000000000000   0.000000000000   0.000000000000   
free           	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
french         	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
friday         	|  0.000000000000   0.117852173343   0.000000000000   0.000000000000   0.000000000000   
front-end      	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
futur          	|  0.053614637706   0.000000000000   0.052733532817   0.032969593103   0.034427522344   
gage           	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
game           	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
given          	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
global         	|  0.000000000000   0.000000000000   0.187203285535   0.000000000000   0.000000000000   
gone           	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
grant          	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
ground         	|  0.000000000000   0.117852173343   0.000000000000   0.000000000000   0.000000000000   
group          	|  0.038389502478   0.000000000000   0.075517216021   0.000000000000   0.000000000000   
guarante       	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
guilt          	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
half           	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
half-year      	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
happen         	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
happi          	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
hear           	|  0.000000000000   0.196420288906   0.000000000000   0.000000000000   0.000000000000   
help           	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
high           	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
highli         	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
hold           	|  0.038389502478   0.031694130465   0.000000000000   0.000000000000   0.000000000000   
holder         	|  0.000000000000   0.000000000000   0.000000000000   0.047214206055   0.049302038059   
home           	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
hope           	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
hous           	|  0.000000000000   0.117852173343   0.000000000000   0.000000000000   0.000000000000   
howev          	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
illeg          	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
illicit        	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
immedi         	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
imper          	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
includ         	|  0.000000000000   0.000000000000   0.140402464151   0.000000000000   0.000000000000   
incom          	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
individu       	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
ingeni         	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
insensit       	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
insolv         	|  0.000000000000   0.000000000000   0.000000000000   0.047214206055   0.049302038059   
inspector      	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
instruct       	|  0.000000000000   0.000000000000   0.000000000000   0.047214206055   0.049302038059   
instrument     	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
intent         	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
interim        	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
intern         	|  0.000000000000   0.078568115562   0.000000000000   0.000000000000   0.000000000000   
invest         	|  0.076779004957   0.000000000000   0.113275824031   0.000000000000   0.000000000000   
investig       	|  0.000000000000   0.117852173343   0.000000000000   0.000000000000   0.000000000000   
involv         	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
issu           	|  0.095600264768   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
itali          	|  0.000000000000   0.078568115562   0.000000000000   0.000000000000   0.000000000000   
italian        	|  0.000000000000   0.274988404468   0.000000000000   0.000000000000   0.000000000000   
job            	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
john           	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
judg           	|  0.000000000000   0.117852173343   0.000000000000   0.000000000000   0.000000000000   
judgement      	|  0.000000000000   0.078568115562   0.000000000000   0.000000000000   0.000000000000   
june           	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
justic         	|  0.000000000000   0.078568115562   0.000000000000   0.000000000000   0.000000000000   
justifi        	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
larg           	|  0.000000000000   0.031694130465   0.113275824031   0.000000000000   0.000000000000   
larger         	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
late           	|  0.000000000000   0.026308991334   0.000000000000   0.039192056059   0.040925145224   
later          	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
law            	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
lawyer         	|  0.000000000000   0.078568115562   0.000000000000   0.000000000000   0.000000000000   
lead           	|  0.000000000000   0.026308991334   0.000000000000   0.039192056059   0.040925145224   
leak           	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
leav           	|  0.026807318853   0.022131952912   0.000000000000   0.032969593103   0.034427522344   
legal          	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
lend           	|  0.000000000000   0.000000000000   0.093601642767   0.000000000000   0.000000000000   
leonard        	|  0.000000000000   0.000000000000   0.140402464151   0.000000000000   0.000000000000   
level          	|  0.022673458586   0.018719064018   0.022300842150   0.027885470677   0.029118577891   
lifelin        	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
like           	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
link           	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
lloyd          	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
london         	|  0.026807318853   0.044263905824   0.000000000000   0.065939186205   0.068855044689   
long-await     	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
long-term      	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
look           	|  0.031866754923   0.026308991334   0.031343055523   0.000000000000   0.000000000000   
lord           	|  0.000000000000   0.157136231124   0.000000000000   0.000000000000   0.000000000000   
lost           	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
low            	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
main           	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
major          	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
make           	|  0.022673458586   0.018719064018   0.022300842150   0.027885470677   0.029118577891   
mark           	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
market         	|  0.026807318853   0.000000000000   0.052733532817   0.032969593103   0.034427522344   
massiv         	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
maximum        	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
mean           	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
measur         	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
medium         	|  0.038389502478   0.000000000000   0.000000000000   0.000000000000   0.049302038059   
medium-term    	|  0.000000000000   0.000000000000   0.000000000000   0.058520791438   0.000000000000   
meet           	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
milan          	|  0.000000000000   0.117852173343   0.000000000000   0.000000000000   0.000000000000   
million        	|  0.095600264768   0.052617982668   0.094029166570   0.000000000000   0.000000000000   
minist         	|  0.000000000000   0.117852173343   0.000000000000   0.000000000000   0.000000000000   
monday         	|  0.053614637706   0.000000000000   0.026366766409   0.098908779308   0.103282567033   
month          	|  0.026807318853   0.022131952912   0.000000000000   0.065939186205   0.068855044689   
morgan         	|  0.000000000000   0.000000000000   0.140402464151   0.000000000000   0.000000000000   
morn           	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
morton         	|  0.127467019691   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
mountain       	|  0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.061108605392   
mr             	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
multi-facet    	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
n't            	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
natur          	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
nearli         	|  0.063733509845   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
necessari      	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
need           	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
negoti         	|  0.031866754923   0.000000000000   0.000000000000   0.078384112119   0.081850290448   
new            	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
news           	|  0.095165597630   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
nobodi         	|  0.095165597630   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
note           	|  0.115168507435   0.031694130465   0.000000000000   0.000000000000   0.000000000000   
noth           	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
number         	|  0.000000000000   0.078568115562   0.000000000000   0.000000000000   0.000000000000   
offenc         	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
